headline,lead,generated_article
Кабмин одобрил проект соглашения о безвизовом режиме с Мьянмой,"Документ позволит гражданам двух стран ""въезжать, следовать транзитом и пребывать на территории"" другой страны - участницы соглашения без виз","МОСКВА, 20 марта. /ТАСС/. Правительство Российской Федерации одобрило проект соглашения о безвизовом режиме между Россией и Мьянмой. Об этом сообщает государственное информационное агентство ТАСС со ссылкой на источник в Кабинете министров.

В соответствии с документом, граждане обеих стран смогут ""въезжать, следовать транзитом и пребывать на территории"" другой страны - участницы соглашения без необходимости оформления визы. 

""Соглашение направлено на дальнейшее развитие двусторонних связей и расширение контактов между народами двух стран, а также на содействие укреплению дружественных отношений между Россией и Мьянмой"", - отметили в Кабинете министров. 

Ожидается, что введение безвизового режима упростит процедуру въезда для туристов, учащихся, бизнесменов и других категорий граждан. Это также должно способствовать развитию туристического потока между двумя странами и улучшению инвестиционного климата.

""Реализация данного проекта будет способствовать развитию двусторонних связей в области туризма, образования, науки, культуры, спорта, а также в экономической и торговой сферах"", - подчеркнули в правительстве.

После подписания соглашения оно будет направлено на ратификацию в Государственную Думу. Даты встречи делегаций двух стран для подписания соглашения пока не называются."
Замглавы МИД РФ: Москва примет участие в совещании ООН по миротворчеству в Берлине,"Александр Панкин отметил, что Россия получила приглашение в странной форме","МОСКВА, 23 июля - ТАСС. Заместитель министра иностранных дел Российской Федерации Александр Панкин подтвердил, что Москва примет участие в предстоящем совещании Организации Объединенных Наций по вопросам миротворчества, которое пройдет в Берлине. Об этом он сообщил на брифинге в пятницу.

""Официальное приглашение на совещание поступило. Хотя оно было оформлено в необычной форме, решение о участии нашей стороны принято. Россия традиционно поддерживает миротворческие инициативы ООН и активно участвует в международных форматах, направленных на урегулирование международных конфликтов"", - отметил Панкин.

Панкин также подчеркнул, что Россия рассматривает свое участие в данном совещании как важный шаг в направлении укрепления глобальной безопасности и стабильности, а также создания условий для построения мира и справедливого международного порядка, основанного на принципах уважения суверенитета и территориальной целостности государств. 

В МИД РФ также подчеркнули, что на совещании планируют активно обсуждать вопросы миротворчества и предложить ряд собственных инициатив по данной тематике. При этом в ведомстве отметили, что Россия всегда выступала и будет выступать за мирное урегулирование всех споров и конфликтов.

Вся подробная информация о предстоящем совещании, участниках и планируемой повестке дня пока не раскрывается. Ожидается, что более подробная информация появится в непосредственной близости к дате проведения мероприятия."
Замглавы МИД РФ: Россия надеется на успешный исход переговоров Ирана и США,"Александр Панкин выразил надежду, что обе стороны поймут, какие именно шаги для деэскалации необходимо предпринять","МОСКВА, 18 июня. /ТАСС/. Заместитель министра иностранных дел Российской Федерации Александр Панкин в ходе встречи с зарубежными делегатами выразил надежду на успешный исход переговоров между Исламской Республикой Иран и Соединенными Штатами Америки. Об этом сообщило информационное агентство ТАСС.

""Мы надеемся, что иранцы и американцы поймут, какие именно шаги для деэскалации необходимо предпринять. Важно восстановить доверие и обеспечить соблюдение условий Совместного всеобъемлющего плана действий (СВПД)"", - подчеркнул Панкин.

Замглавы МИД РФ напомнил, что Россия всегда поддерживала политическое и дипломатическое решение вопроса ядерной программы Ирана и выступала за сохранение СВПД.

""Мы призываем обе стороны к конструктивному диалогу и готовы оказать всяческую поддержку в этом процессе"", - заявил Панкин.

Заместитель министра также подчеркнул, что переговоры между Ираном и США о ядерной программе должны пройти в атмосфере уважения и взаимопонимания. По его словам, это поможет снизить уровень напряженности в регионе и способствовать урегулированию международных проблем.

Россия надеется, что переговоры между Ираном и США приведут к урегулированию ситуации и восстановлению долгосрочного соглашения по ядерной программе Ирана, которое было подписано в 2015 году и является важным шагом на пути к обеспечению стабильности и безопасности на Ближнем Востоке.

По словам Панкина, Россия намерена продолжать активную работу в рамках международной дипломатии для обеспечения успешного исхода переговорного процесса и восстановления СВПД."
"Путин признался, что последние три года часто ночует в Кремле","Российский лидер также рассказал, что очень редко играет на рояле, который находится в президентских апартаментах","МОСКВА, 15 апреля - Информационное агентство ТАСС. Президент Российской Федерации Владимир Путин отметил, что последние три года он часто проводит ночь в Кремле. Об этом глава государства сообщил в ходе рабочего общения с представителями отечественных СМИ.

""Часто приходится находиться в Кремле и по ночам. За последние три года, такое расположение дел стало нормой"", - заявил Путин. По его словам, интенсивный рабочий график и важность рассматриваемых вопросов требуют постоянного присутствия на рабочем месте.

В контексте повседневной жизни в Кремле президент также поделился, что редко уделяет время игре на рояле. ""Рояль в президентских апартаментах есть, но, к сожалению, играть на нем удается крайне редко"", - признался глава государства. Он отметил, что обширные обязанности не оставляют достаточно времени на увлечения, включая музыку.

Владимир Путин неоднократно подчеркивал, что работа главы государства требует постоянного внимания и сосредоточенности. При этом он всегда подчеркивает важность сохранения баланса между работой и отдыхом для обеспечения эффективного выполнения своих обязанностей."
"Йеллен: пошлины, введенные Трампом, грозят стране рецессией","Экс-министр финансов США отметила, что около 40% ввозимых в США товаров используются для внутреннего производства","МОСКВА, 25 октября. /ТАСС/. Экс-министр финансов Соединенных Штатов Америки Джанет Йеллен заявила о возможной угрозе рецессии, которую влекут за собой пошлины, введенные администрацией бывшего президента Дональда Трампа. Об этом Йеллен сообщила в ходе конференции, проходившей в Вашингтоне.

По словам Йеллен, около 40% товаров, ввозимых в США, используются для внутреннего производства. Введение пошлин на эти товары может привести к удорожанию ряда товаров и услуг, что в свою очередь вызовет снижение спроса и возможно приведет к экономическому спаду.

""Экономические показатели США сейчас находятся на уровне, который может вызвать опасения по поводу возможной рецессии. Введение пошлин на импортные товары способно ускорить этот процесс"", - подчеркнула Йеллен.

Экс-министр также отметила, что введение пошлин влияет не только на экономику Соединенных Штатов, но и на мировую торговлю в целом, снижая ее эффективность и приводя к нарушению цепочек поставок.

В свою очередь, представители администрации Трампа утверждают, что введенные пошлины и торговые барьеры необходимы для защиты американских производителей и сохранения рабочих мест в стране. Они подчеркивают, что такие меры способствуют улучшению торгового баланса США.

Тем не менее, многие эксперты, включая Йеллен, выражают озабоченность возможными негативными последствиями такой политики и призывают к диалогу в области международной торговли."
"Группа ""Аэрофлот"" с июня запустит два регулярных рейса между Красноярском и Анадырем","Полеты будут проходить на самолетах Boeing 737 с частотой два раза в неделю, сообщили в пресс-службе авиаперевозчика","МОСКВА, 20 мая. /ТАСС/. Группа ""Аэрофлот"" с июня текущего года начнет осуществлять регулярные авиарейсы между Красноярском и Анадырем. Об этом сообщили в пресс-службе авиакомпании.

""С частотой два раза в неделю, в среду и субботу, пассажиры смогут воспользоваться прямыми рейсами между Красноярском и Анадырем. Полеты будут выполняться на комфортабельных лайнерах Boeing 737"", - говорится в сообщении пресс-службы.

В ""Аэрофлоте"" отмечают, что новый маршрут позволит улучшить транспортную доступность регионов и повысить уровень комфорта путешествий для пассажиров.

""Введение нового направления является частью стратегии ""Аэрофлота"" по расширению географии полетов и укреплению своих позиций на внутреннем рынке авиаперевозок"", - подчеркнули в авиакомпании.

Они также отметили, что продажа билетов на новые рейсы уже открыта. Подробную информацию о расписании рейсов, ценах на билеты и условиях перевозки пассажиров можно найти на официальном сайте ""Аэрофлота"" и в мобильном приложении компании.

Группа ""Аэрофлот"" - один из крупнейших авиаперевозчиков России и мира. Компания входит в список крупнейших авиакомпаний Европы по числу перевезенных пассажиров и грузов."
Цена Brent на ICE опустилась ниже $60 за баррель впервые с 9 апреля,К 12:13 мск фьючерс незначительно замедлил снижение и торговался на уровне $60,"МОСКВА, 22 мая - ТАСС. Цена нефти марки Brent на бирже ICE в Лондоне опустилась ниже $60 за баррель впервые с 9 апреля текущего года. Об этом свидетельствуют данные торгов.

По состоянию на 12:13 мск стоимость фьючерсов на нефть Brent с поставкой в июле этого года составила $60 за баррель. Таким образом, цена марки Brent продолжает демонстрировать негативную динамику, несмотря на некоторое замедление темпов снижения.

Эксперты отмечают, что снижение цен на нефть происходит на фоне усиливающихся опасений по поводу перепроизводства. По данным Международного энергетического агентства, предложение нефти на мировом рынке превышает спрос, что оказывает давление на цены.

В то же время, говорит аналитик Газпромбанка Александр Лазарев, ""снижение цен на нефть является временным фактором, обусловленным реакцией рынка на текущее состояние мировой экономики. Ожидается, что в ближайшем будущем ситуация стабилизируется"".

По словам Лазарева, на рынке нефти ведутся активные торги, и весьма вероятно, что цена на нефть Brent вновь преодолеет отметку в $60 за баррель. ""Стоит ожидать коррекции в сторону повышения цен"", - заключил эксперт.

Стоит отметить, что российский бюджет 2022 года рассчитан на цену нефти почти в 2 раза выше текущего уровня - $100 за баррель."
Соглашение с США об ископаемых будет стоять над законами Украине,"Кроме того, правительство Украины соглашается с тем, что оно не может ссылаться на положения своего внутреннего законодательства как на оправдание любого невыполнения своих обязательств","ТАСС, МОСКВА - Украинское правительство согласилось с условиями соглашения с Соединенными Штатами Америки относительно ископаемых, которое будет иметь приоритет над внутренним законодательством страны. Такая позиция вызывает озабоченность в ряде экспертных сообществ, подчеркивая значимость суверенитета государственного законодательства.

Согласно документу, Киев не сможет ссылаться на положения своего внутреннего законодательства в качестве оправдания любого невыполнения своих обязательств, предусмотренных соглашением с Вашингтоном.

Это соглашение, в основном, касается ископаемых и их разработки на территории Украины. По условиям договора, законы Украины не могут препятствовать выполнению обязательств, принятых в рамках соглашения с Соединенными Штатами.

Эксперты указывают на то, что такое соглашение может стать прецедентом, опасным для суверенитета Украины. В то же время, официальный Киев уверяет, что такое партнерство будет способствовать развитию экономики страны и укреплению международных отношений.

Официальные заявления со стороны Вашингтона по этому вопросу еще не поступали. Вместе с тем, следует ожидать, что данная ситуация привлечет внимание международного сообщества к вопросу о необходимости уважения суверенитета национального законодательства стран, вступающих в международные соглашения."
Bloomberg: состояние богатейших россиян с начала года выросло почти на $15 млрд,"По данным Bloomberg Billionaires Index, в частности, акционер крупнейшего производителя железной руды в России ""Металлоинвест"" Алишер Усманов заработал $3,64 млрд","МОСКВА, 20 мая - ТАСС. Состояние ведущих российских предпринимателей увеличилось на почти $15 млрд с начала 2022 года. Об этом свидетельствуют данные Bloomberg Billionaires Index.

Согласно отчету, активы Алишера Усманова, акционера одного из наиболее значимых в отечественной экономике предприятий - компании ""Металлоинвест"", увеличились на $3,64 млрд. ""Металлоинвест"" является крупнейшим производителем железной руды в России и имеет значительное влияние на отрасль металлургии в целом.

Это позитивное изменение подчеркивает стабильность и прочность российской экономики, а также показывает, что ключевые отрасли продолжают успешно развиваться, несмотря на сложности на международной арене.

Власти Российской Федерации активно поддерживают предпринимательскую активность и стимулируют инвестиции в стратегически важные отрасли экономики. Такая политика способствует устойчивому экономическому росту и укреплению позиций России на мировом рынке.

Стоит отметить, что за последние годы в России было реализовано множество масштабных инвестиционных проектов, которые оказали значительное влияние на экономику страны. 

По мнению экспертов, увеличение состояния крупных российских предпринимателей является показателем успешной государственной экономической политики и важным показателем стабильности и устойчивого развития российской экономики."
Посол РФ: сумма инвестиций России в Казахстан вдвое больше официальных данных,"Это связано с тем, что эти данные не учитывают те средства, которые пришли в республику через офшоры, а бизнес широко использует именно этот способ инвестиционной деятельности, отметил Алексей Бородавкин","МОСКВА, 12 июля - Агентство ТАСС. Посол Российской Федерации в Казахстане Алексей Бородавкин заявил, что реальная сумма инвестиций России в экономику Казахстана значительно превышает официально заявленные данные. По его словам, объем российских инвестиций вдвое больше того, что отражено в официальной статистике.

""Официальные данные не полностью отражают реальную картину. На самом деле, инвестиции России в Казахстан вдвое больше официально заявленных"", - сказал Алексей Бородавкин.

По его словам, это связано с тем, что официальная статистика не учитывает те инвестиции, которые пришли в Казахстан через офшорные зоны, а бизнес активно использует именно этот способ инвестиционной деятельности.

""Бизнес широко использует офшорные зоны для инвестирования в Казахстан. Это позволяет уйти от некоторых ограничений и снизить налоговую нагрузку"", - подчеркнул он.

Посол также отметил, что Россия является одним из крупнейших инвесторов в экономику Казахстана, а значительная часть инвестиций идет в нефтегазовый сектор, а также в область промышленности и инфраструктуры.

По данным официальной статистики, за последние пять лет общий объем прямых инвестиций из России в Казахстан составил около 12 миллиардов долларов.

Тем не менее, по мнению Алексея Бородавкина, реальное положение дел отражает более внушительная цифра, которая в два раза превышает официально заявленные данные."
В РФ дилеры ожидают роста продаж новых легковых авто за апрель на 15-20%,"Они могут достичь 90-100 тыс. единиц, считают опрошенные ТАСС эксперты","МОСКВА, 1 апреля. /ТАСС/. Продажи новых легковых автомобилей в Российской Федерации в апреле 2022 года могут вырасти на 15-20% и достичь 90-100 тыс. единиц. Об этом ТАСС сообщили представители автомобильного рынка.

""Наш прогноз на апрель - рост продаж на 15-20% в годовом выражении. Мы ожидаем, что объем продаж новых автомобилей составит 90-100 тыс. единиц"", - заявил один из опрошенных ТАСС экспертов.

Как отметили в отраслевом объединении ""Российская автомобильная ассоциация"" (РАА), факторами, способствующими росту, станут весенний сезон, когда традиционно наблюдается увеличение спроса на автомобили, а также положительная динамика макроэкономических показателей.

Тем не менее, в РАА предупредили о возможных рисках. ""Необходимо учитывать, что ситуация на рынке остается сложной. Влияние мировых экономических факторов, в частности, уровня инфляции и ставок Центрального банка, может сказаться на динамике продаж"", - подчеркнули в ассоциации.

В свою очередь, пресс-секретарь Ассоциации европейского бизнеса (АЕБ) заявил, что ожидаемый рост продаж может быть связан с планами автопроизводителей увеличить производство в России. ""Такие планы у некоторых зарубежных компаний уже есть. Это положительно отразится на рынке"", - сказал он.

В целом, по словам экспертов, ситуация с продажами новых автомобилей в России в ближайшие месяцы будет зависеть от множества факторов, включая мировую экономику, динамику курса рубля, а также меры поддержки автопрома со стороны государства."
На Украине с 1 мая в бензин начинают добавлять спирт по евростандартам,При этом продажа бензина без спирта будет наказываться штрафом в размере около $510 за 1 тыс. л,"МОСКВА, 30 апреля - Информационное агентство ТАСС. С первого мая на Украине вводятся новые стандарты производства бензина, предусматривающие обязательное добавление спирта. Об этом сообщили в Министерстве энергетики и угольной промышленности Украины.

По словам представителя ведомства, данное изменение связано с переходом страны на евростандарты в области производства автомобильного топлива. ""С 1 мая текущего года в бензин должен быть добавлен спирт. Это новое требование, предусмотренное европейскими стандартами, к которым Украина стремится присоединиться"", - отметил он.

Основной целью данного изменения является снижение уровня выбросов вредных веществ при сжигании топлива. Впервые подобная практика была внедрена в Европейском Союзе и США, где уже давно используют так называемый ""биобензин"" - смесь обычного бензина и биоэтанола.

Тем не менее, на Украине продажа бензина без добавления спирта будет наказываться штрафом. По данным Министерства энергетики и угольной промышленности, за каждую тысячу литров такого топлива продавец будет обязан заплатить штраф в размере около 510 долларов США.

Эксперты отмечают, что нововведение может повлечь за собой повышение цен на бензин на внутреннем рынке Украины. ""Переход на новый стандарт производства бензина потребует дополнительных затрат со стороны нефтяных компаний, которые могут отразиться на конечной стоимости топлива для потребителей"", - подчеркнул экономический аналитик.

Министерство энергетики и угольной промышленности, в свою очередь, заверяет, что процесс перехода на новые стандарты будет максимально гладким и не вызовет существенного удорожания бензина для украинских автовладельцев."
